organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 82 , 107 , 125 , 108 , 145 , 105 , 120 , 101 , 136 , 71 , 244 , 227 
Bomet County, 505 , 450 , 106 , 41 , 54 , 56 , 139 , 219 , 226 , 84 , 347 , 135 
Bungoma County, 676 , 209 , 53 , 43 , 169 , 143 , 166 , 169 ," 2,076 "," 2,915 "," 2,695 "," 1,988 "
Busia County, 927 , 833 , 691 , 600 , 582 , 396 , 393 , 450 , 784 , 434 , 709 , 904 
Elgeyo Marakwet County, 130 , 76 , 46 , 138 , 197 , 73 , 67 , 142 , 110 , 97 , 89 , 58 
Embu County, 413 , 216 , 299 , 105 , 337 , 288 , 353 , 352 , 510 , 275 , 447 , 193 
Garissa County, 34 , 34 , 19 , 23 , 34 , 14 , 12 , 34 , 62 , 55 , 64 , 61 
Homa Bay County," 2,536 ", 717 , 547 ," 1,171 "," 1,210 ", 811 , 461 , 665 , 993 , 381 , 649 , 705 
Isiolo County, 13 , 19 , 6 , 1 , 3 , 3 , 9 , 8 , 1 , 3 , 12 ,
Kajiado County, 300 , 526 , 835 , 727 , 903 , 452 , 693 ," 1,174 "," 1,050 ", 523 , 735 , 869 
Kakamega County," 2,589 "," 2,936 "," 2,469 "," 1,899 "," 2,138 "," 1,973 "," 1,920 "," 1,878 "," 2,490 "," 1,832 "," 1,948 "," 1,801 "
Kericho County, 768 , 447 , 608 , 341 , 231 , 264 , 370 , 391 ," 1,162 ", 507 , 878 , 599 
Kiambu County, 533 , 819 ," 1,109 ", 800 , 680 , 583 , 642 , 436 ," 1,012 ", 868 , 910 , 888 
Kilifi County, 387 , 512 , 675 , 725 , 810 , 769 , 902 , 969 ," 1,122 "," 1,171 "," 1,356 "," 1,059 "
Kirinyaga County, 365 , 286 , 260 , 269 , 284 , 330 , 268 , 351 , 426 , 300 , 346 , 270 
Kisii County, 552 , 833 , 542 , 537 , 791 , 728 , 330 , 443 , 658 , 279 , 416 , 373 
Kisumu County, 493 , 755 , 554 , 720 ," 1,233 "," 1,134 ", 983 , 935 ," 1,203 ", 975 , 882 ," 1,020 "
Kitui County, 142 , 72 , 295 , 247 , 160 , 56 , 136 , 79 , 324 , 383 , 441 , 518 
Kwale County, 223 , 286 , 281 , 234 , 294 , 199 , 245 , 252 , 404 , 435 , 641 , 539 
Laikipia County, 56 , 4 , 51 , 3 , 75 , 46 , 7 ,, 77 , 15 , 208 , 186 
Lamu County, 294 , 125 , 92 , 49 , 62 , 35 , 93 , 80 , 48 , 20 , 107 , 132 
Machakos County, 361 , 348 , 244 , 345 , 312 , 243 , 331 , 389 , 513 , 273 , 254 , 401 
Makueni County, 384 , 150 , 155 , 67 , 45 , 32 , 16 , 135 , 168 , 50 , 75 , 36 
Mandera County, 13 , 12 , 37 , 113 , 26 , 9 , 6 , 20 , 5 , 10 , 23 , 6 
Marsabit County, 14 , 27 , 3 , 1 , 7 , 2 , 3 , 3 , 8 , 3 , 3 , 4 
Meru County, 746 , 615 , 467 , 418 , 509 , 620 , 517 , 546 , 736 , 624 , 471 , 558 
Migori County, 562 , 671 , 487 , 440 , 233 , 381 , 232 , 316 , 154 , 338 , 136 , 392 
Mombasa County," 1,127 "," 1,504 "," 1,318 "," 1,108 "," 1,356 "," 1,108 "," 1,053 "," 1,156 "," 1,276 ", 883 ," 1,185 "," 1,273 "
Muranga County, 174 , 80 , 10 , 46 , 163 , 35 , 30 , 19 , 65 , 208 , 237 , 285 
Nairobi County," 1,467 "," 1,706 ", 923 , 427 , 281 , 488 , 361 , 564 , 453 , 541 , 582 , 552 
Nakuru County, 733 ," 1,051 "," 1,096 ", 339 , 932 , 881 , 759 , 873 , 378 , 213 , 74 , 263 
Nandi County, 690 , 585 , 639 , 364 , 386 , 318 , 825 , 606 , 864 , 490 , 550 , 501 
Narok County, 300 , 162 , 150 , 234 , 71 , 245 , 33 , 41 , 135 , 108 , 165 , 232 
Nyamira County, 165 , 279 , 78 , 294 , 420 , 52 , 136 , 212 , 695 , 601 , 475 , 486 
Nyandarua County, 460 , 405 , 227 , 231 , 333 , 238 , 327 , 223 , 296 , 193 , 138 , 349 
Nyeri County, 32 , 28 , 75 , 65 , 31 , 76 , 52 , 27 , 6 , 43 , 19 , 26 
Samburu County, 12 , 14 , 24 , 19 , 29 , 2 , 21 , 35 , 17 , 2 , 19 , 32 
Siaya County, 390 , 249 , 234 , 236 , 178 , 123 , 293 , 310 , 360 , 150 , 344 , 264 
Taita Taveta County, 95 , 73 , 116 , 17 , 96 , 101 , 69 , 22 , 72 , 54 , 36 , 14 
Tana River County, 100 , 309 , 97 , 75 , 145 , 55 , 77 , 71 , 113 , 146 , 185 , 162 
Tharaka Nithi County, 197 , 95 , 63 , 41 , 19 , 82 , 37 , 230 , 112 , 72 , 63 ," 8,234 "
Trans Nzoia County, 292 , 138 , 127 , 138 , 17 , 97 , 159 , 249 , 550 , 667 , 741 , 784 
Turkana County, 225 , 65 , 143 , 88 , 145 , 207 , 305 , 221 , 188 , 111 ," 2,499 ", 69 
Uasin Gishu County," 1,022 "," 1,226 "," 1,900 "," 1,067 "," 1,846 "," 1,091 "," 1,146 "," 1,350 "," 1,474 ", 666 , 704 , 813 
Vihiga County, 422 , 421 , 454 , 263 , 125 , 62 , 209 , 104 , 307 , 55 , 232 , 184 
Wajir County, 33 , 2 , 5 , 1 , 14 , 21 , 37 , 14 , 13 , 30 , 17 , 27 
West Pokot County, 208 , 236 , 207 , 257 , 225 , 240 , 277 , 292 , 472 , 301 , 148 , 228 
